PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
57,136,1775,1-2-27-680,680,කිරිකිත්තමුල්ල,கிரிகித்தமுல்ல,Kirikittamulla,309
57,137,1776,1-2-27-685,685,කිරිකිත්තමුල්ල දකුණ,கிரிகித்தமுல்ல தெற்கு,Kirikittamulla South,309A
57,138,1777,1-2-27-690,690,කොස්කඳවල,கொஸ் கந்த வல,Koskandawala,308
57,139,1778,1-2-27-695,695,ඕපත්ඇල්ල,ஓபத்எல்ல,Opathella,371
57,140,1779,1-2-27-700,700,පරණගම,பரணகம,Paranagama,370
57,141,1780,1-2-27-705,705,පරණගම නැගෙනහිර,பரணகம கிழக்கு,Paranagama East,370C
57,142,1781,1-2-27-710,710,අරුප්පස්ස,அருப்பஸ்ஸ,Aruppassa,368
57,143,1782,1-2-27-715,715,මඩකොටුව බටහිර,மடகொடுவ மேற்கு,Madaotuwa West,375B
57,144,1783,1-2-27-720,720,මඩකොටුව,மடகொடுவ,Madakotuwa,375
57,145,1784,1-2-27-725,725,රතඹලේ,றத்தம் பலே,Rathambale,374
